GameDuration,teamDiffAssists,teamDiffAvgLevel,teamDiffCSPerMin,teamDiffDeaths,teamDiffDragons,teamDiffEliteMonsters,teamDiffGoldPerMin,teamDiffHeralds,teamDiffKills,teamDiffTotalExperience,teamDiffTotalGold,teamDiffTotalJungleMinionsKilled,teamDiffTotalMinionsKilled,teamDiffTowersDestroyed,teamDiffWardsDestroyed,teamDiffWardsPlaced,EarlyGameLead
37.0,4,0.0,0.3000000000000007,1,1,0,114.39999999999986,1,1,480,1144,17,3,1,3,3,0
29.0,3,0.20000000000000018,1.3999999999999986,1,1,1,117.29999999999995,0,1,953,1173,31,14,0,1,24,1
31.0,9,0.40000000000000036,2.3999999999999986,6,1,1,319.4000000000001,0,6,2534,3194,7,24,0,1,5,1
28.0,6,0.20000000000000018,1.1999999999999993,5,1,1,262.20000000000005,0,5,1136,2622,2,12,0,3,1,0
25.0,1,0.20000000000000018,3.6999999999999993,2,1,0,115.09999999999991,1,2,470,1151,2,37,0,1,0,1
45.0,0,0.20000000000000018,3.1000000000000014,2,1,2,146.29999999999995,1,2,1490,1463,0,31,0,2,2,1
35.0,4,0.20000000000000018,0.5,2,1,2,103.79999999999995,1,2,1307,1038,14,5,0,0,1,1
29.0,2,0.1999999999999993,3.1999999999999993,4,0,1,142.4000000000001,1,4,1060,1424,21,32,0,2,4,1
23.0,13,0.40000000000000036,1.5999999999999979,4,1,1,52.700000000000045,0,4,721,527,19,16,0,3,6,0
38.0,3,0.40000000000000036,4.399999999999999,1,1,2,180.70000000000005,1,1,932,1807,14,44,0,1,35,0
34.0,6,0.20000000000000018,4.600000000000001,7,1,0,285.5999999999999,1,7,1262,2856,29,46,0,6,27,1
27.0,7,0.40000000000000036,3.700000000000003,0,1,0,96.40000000000009,1,0,2454,964,0,37,0,0,1,1
25.0,0,0.20000000000000018,2.099999999999998,1,1,0,17.799999999999955,1,1,524,178,4,21,0,5,22,1
35.0,1,0.0,2.8000000000000007,1,1,1,70.5,0,1,192,705,3,28,0,3,2,0
25.0,2,0.0,0.1999999999999993,0,1,1,90.79999999999995,0,0,306,908,11,2,0,1,1,0
22.0,9,0.40000000000000036,4.100000000000001,5,1,2,355.79999999999995,1,5,3243,3558,12,41,0,2,11,0
33.0,3,0.20000000000000018,2.3000000000000007,5,1,1,129.9000000000001,0,5,49,1299,9,23,0,5,41,1
35.0,1,0.6000000000000005,4.699999999999999,3,1,1,176.29999999999995,0,3,1864,1763,8,47,0,2,3,1
26.0,8,0.8000000000000007,1.5,6,0,0,254.70000000000005,0,6,2189,2547,23,15,0,1,3,0
21.0,11,0.8000000000000007,1.0,7,1,0,368.5,1,7,3119,3685,14,10,0,0,7,1
27.0,4,0.7999999999999998,2.200000000000003,4,1,1,368.9000000000001,0,4,4682,3689,34,22,0,11,48,0
32.0,4,0.40000000000000036,0.3000000000000007,2,1,2,76.39999999999986,1,2,803,764,27,3,0,0,16,0
24.0,3,0.6000000000000005,1.0,7,1,1,303.70000000000005,0,7,2694,3037,10,10,0,1,2,1
27.0,4,0.6000000000000005,11.2,0,1,1,354.5,0,0,2162,3545,26,112,1,1,5,1
21.0,3,0.20000000000000018,4.600000000000001,0,1,1,103.09999999999991,0,0,394,1031,12,46,0,2,2,1
16.0,9,0.0,0.09999999999999787,5,1,1,179.5999999999999,0,5,749,1796,15,1,0,1,1,1
24.0,4,0.20000000000000018,4.399999999999999,1,1,1,162.5999999999999,0,1,747,1626,14,44,0,4,1,1
33.0,1,0.20000000000000018,6.399999999999999,2,1,0,83.20000000000005,1,2,1330,832,22,64,0,0,28,0
21.0,2,0.40000000000000036,3.8999999999999986,5,1,2,275.0,1,5,2647,2750,0,39,0,2,2,0
22.0,7,0.20000000000000018,4.099999999999998,3,0,1,152.4000000000001,1,3,827,1524,11,41,0,2,5,1
22.0,9,0.20000000000000018,1.0,5,1,2,217.4000000000001,1,5,1268,2174,12,10,0,4,1,1
20.0,1,0.20000000000000018,1.3000000000000007,3,1,1,109.30000000000018,0,3,720,1093,8,13,0,10,31,1
28.0,5,0.20000000000000018,1.8000000000000007,1,0,0,21.5,0,1,438,215,10,18,0,1,37,1
28.0,4,0.39999999999999947,0.1999999999999993,1,1,0,63.5,1,1,1157,635,21,2,0,1,35,1
22.0,0,0.6000000000000005,1.0999999999999979,0,0,1,12.0,1,0,1209,120,7,11,1,2,4,0
27.0,1,0.40000000000000036,1.1000000000000014,1,1,1,19.399999999999864,0,1,661,194,24,11,0,2,6,0
25.0,20,0.40000000000000036,2.5,7,1,1,358.0999999999999,0,7,1578,3581,1,25,0,2,2,1
